xflr5 v6.58

Plane name :, Plane Name3 Wing angle = -1
Polar name :, T3 Wing angle minus 1
Freestream speed :, 133.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.080051,   0.000677,   0.011748,   0.012425,  -0.000000,  -0.000000,   0.039798,   0.000000,   0.000000,  133.0000,    2.2437
   -1.500,     0.000,  -0.029601,   0.000400,   0.011623,   0.012023,  -0.000000,  -0.000000,   0.029401,   0.000000,   0.000000,  133.0000,    3.0301
   -1.000,     0.000,   0.020853,   0.000305,   0.011504,   0.011809,  -0.000000,  -0.000000,   0.019045,   0.000000,   0.000000,  133.0000,    0.0110
   -0.500,     0.000,   0.071303,   0.000393,   0.011355,   0.011748,  -0.000000,  -0.000000,   0.008735,   0.000000,   0.000000,  133.0000,    1.2644
    0.000,     0.000,   0.121740,   0.000662,   0.011223,   0.011885,  -0.000000,  -0.000000,  -0.001527,   0.000000,   0.000000,  133.0000,    1.4791
    0.500,     0.000,   0.172155,   0.001114,   0.011164,   0.012278,  -0.000000,  -0.000000,  -0.011742,   0.000000,  -0.000000,  133.0000,    1.5682
    1.000,     0.000,   0.222540,   0.001747,   0.011153,   0.012900,   0.000000,  -0.000000,  -0.021908,   0.000000,  -0.000000,  133.0000,    1.6170
    1.500,     0.000,   0.272886,   0.002560,   0.011164,   0.013724,   0.000000,  -0.000000,  -0.032020,   0.000000,  -0.000000,  133.0000,    1.6480
    2.000,     0.000,   0.323185,   0.003554,   0.011184,   0.014739,   0.000000,   0.000000,  -0.042073,   0.000000,  -0.000000,  133.0000,    1.6694


