xflr5 v6.58

Plane name :, Plane Name4
Polar name :, T4-133.0 m/s-VLM1
Freestream speed :, 133.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.033671,   0.000985,   0.011537,   0.012523,  -0.000000,  -0.000000,   0.147708,   0.000000,   0.000000,  133.0000,    8.5524
   -1.500,     0.000,   0.016929,   0.000811,   0.011387,   0.012198,  -0.000000,  -0.000000,   0.137335,   0.000000,   0.000000,  133.0000,  -11.6714
   -1.000,     0.000,   0.067528,   0.000819,   0.011243,   0.012062,  -0.000000,  -0.000000,   0.126995,   0.000000,   0.000000,  133.0000,   -1.5873
   -0.500,     0.000,   0.118119,   0.001011,   0.011179,   0.012190,  -0.000000,  -0.000000,   0.116685,   0.000000,   0.000000,  133.0000,   -0.1421
    0.000,     0.000,   0.168691,   0.001385,   0.011162,   0.012547,  -0.000000,  -0.000000,   0.106407,   0.000000,   0.000000,  133.0000,    0.4364
    0.500,     0.000,   0.219237,   0.001942,   0.011167,   0.013109,  -0.000000,  -0.000000,   0.096166,   0.000000,   0.000000,  133.0000,    0.7481
    1.000,     0.000,   0.269747,   0.002681,   0.011185,   0.013866,  -0.000000,  -0.000000,   0.085968,   0.000000,   0.000000,  133.0000,    0.9431
    1.500,     0.000,   0.320214,   0.003601,   0.011210,   0.014811,  -0.000000,  -0.000000,   0.075815,   0.000000,   0.000000,  133.0000,    1.0767
    2.000,     0.000,   0.370629,   0.004702,   0.011266,   0.015968,  -0.000000,  -0.000000,   0.065710,   0.000000,   0.000000,  133.0000,    1.1740


